,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,24,0.3125,0.25,0.125,0.1875,0.0625,0.0625
1,2010,45,0.5,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555
2,3014,62,0.5,0.1875,0.0625,0.125,0.0625,0.0625
3,4020,74,0.6666666666666666,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616
4,5024,84,0.6,0.1,0.05,0.05,0.15,0.05
5,6031,88,0.5263157894736842,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.05263157894736842
6,7037,89,0.6,0.15,0.05,0.05,0.1,0.05
7,8043,89,0.6,0.15,0.05,0.05,0.1,0.05
8,9049,90,0.6190476190476191,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616
9,10053,91,0.6,0.15,0.05,0.05,0.1,0.05
10,11066,91,0.65,0.05,0.05,0.05,0.15,0.05
11,12089,91,0.7,0.05,0.05,0.05,0.1,0.05
12,13116,91,0.7,0.05,0.05,0.05,0.1,0.05
13,14145,92,0.7,0.05,0.05,0.05,0.1,0.05
14,15172,92,0.7,0.05,0.05,0.05,0.1,0.05
15,16200,92,0.7,0.05,0.05,0.05,0.1,0.05
16,17231,92,0.7,0.05,0.05,0.05,0.1,0.05
17,18256,92,0.7,0.05,0.05,0.05,0.1,0.05
18,19283,92,0.7,0.05,0.05,0.05,0.1,0.05
19,20312,92,0.7,0.05,0.05,0.05,0.1,0.05
20,21339,92,0.7,0.05,0.05,0.05,0.1,0.05
21,22354,92,0.7,0.05,0.05,0.05,0.1,0.05
22,23381,93,0.7,0.05,0.1,0.05,0.05,0.05
23,24406,93,0.7,0.05,0.1,0.05,0.05,0.05
24,25434,94,0.7,0.05,0.1,0.05,0.05,0.05
25,26460,94,0.7,0.05,0.1,0.05,0.05,0.05
26,27486,94,0.7,0.05,0.1,0.05,0.05,0.05
27,28510,94,0.7,0.05,0.1,0.05,0.05,0.05
28,29541,94,0.7,0.05,0.1,0.05,0.05,0.05
29,30569,94,0.7,0.05,0.1,0.05,0.05,0.05
30,31598,94,0.7,0.05,0.1,0.05,0.05,0.05
31,32626,94,0.7,0.05,0.1,0.05,0.05,0.05
32,33654,94,0.7,0.05,0.1,0.05,0.05,0.05
33,34665,95,0.75,0.05,0.05,0.05,0.05,0.05
34,35693,95,0.75,0.05,0.05,0.05,0.05,0.05
35,36717,95,0.75,0.05,0.05,0.05,0.05,0.05
36,37744,95,0.75,0.05,0.05,0.05,0.05,0.05
37,38772,95,0.75,0.05,0.05,0.05,0.05,0.05
38,39799,95,0.75,0.05,0.05,0.05,0.05,0.05
39,40826,95,0.75,0.05,0.05,0.05,0.05,0.05
40,41856,96,0.75,0.05,0.05,0.05,0.05,0.05
41,42881,96,0.75,0.05,0.05,0.05,0.05,0.05
42,43909,96,0.75,0.05,0.05,0.05,0.05,0.05
43,44935,96,0.75,0.05,0.05,0.05,0.05,0.05
44,45964,96,0.7,0.05,0.1,0.05,0.05,0.05
45,46993,96,0.75,0.05,0.05,0.05,0.05,0.05
46,48023,96,0.75,0.05,0.05,0.05,0.05,0.05
47,49051,96,0.75,0.05,0.05,0.05,0.05,0.05
48,50075,96,0.75,0.05,0.05,0.05,0.05,0.05
49,51106,96,0.75,0.05,0.05,0.05,0.05,0.05
50,52136,96,0.75,0.05,0.05,0.05,0.05,0.05
51,53144,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
52,54170,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
53,55199,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
54,56228,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
55,57258,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
56,58287,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
57,59300,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
58,60327,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
59,61357,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
60,62390,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
61,63417,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
62,64444,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
63,65458,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
64,66486,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
65,67510,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
66,68538,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
67,69566,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
68,70596,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
69,71608,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
70,72634,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
71,73661,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
72,74691,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
73,75720,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
74,76746,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
75,77760,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
76,78786,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
77,79812,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
78,80842,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
79,81868,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
80,82897,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
81,83908,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
82,84936,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
83,85962,96,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
