,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,301,14,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.07692307692307693
1,602,17,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.07692307692307693
2,902,21,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.14285714285714285
3,1202,23,0.1875,0.3125,0.125,0.0625,0.25,0.0625
4,1503,28,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142
5,1806,34,0.2,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
6,2108,39,0.2222222222222222,0.5,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555
7,2411,41,0.3157894736842105,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842
8,2713,45,0.3684210526315789,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.05263157894736842
9,3013,54,0.35,0.3,0.05,0.1,0.15,0.05
10,3314,59,0.47619047619047616,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.047619047619047616
11,3615,62,0.45,0.25,0.05,0.05,0.15,0.05
12,3917,65,0.42857142857142855,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.047619047619047616
13,4219,66,0.45454545454545453,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456
14,4521,70,0.5217391304347826,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.043478260869565216
15,4821,75,0.5652173913043478,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216
16,5123,80,0.45454545454545453,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
17,5424,83,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
18,5725,85,0.6521739130434783,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216
19,6026,85,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
20,6326,86,0.6190476190476191,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
21,6627,88,0.6666666666666666,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
22,6929,89,0.6190476190476191,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.047619047619047616
23,7231,91,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
24,7532,91,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
25,7834,93,0.6363636363636364,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456
26,8137,93,0.5714285714285714,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
27,8438,93,0.5714285714285714,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
28,8739,94,0.5238095238095238,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
29,9041,94,0.47619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
30,9342,94,0.47619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
31,9644,95,0.47619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
32,9945,95,0.42857142857142855,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
33,10094,95,0.42857142857142855,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616
