,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,301,14,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111
1,603,17,0.2,0.2,0.2,0.1,0.2,0.1
2,903,24,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
3,1203,29,0.17647058823529413,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705
4,1505,31,0.23529411764705882,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705
5,1807,35,0.23529411764705882,0.4117647058823529,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705
6,2109,39,0.17647058823529413,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
7,2410,48,0.2,0.6,0.05,0.05,0.05,0.05
8,2711,53,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
9,3013,56,0.2,0.6,0.05,0.05,0.05,0.05
10,3315,59,0.15,0.65,0.05,0.05,0.05,0.05
11,3616,60,0.14285714285714285,0.6666666666666666,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
12,3917,62,0.19047619047619047,0.6190476190476191,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
13,4218,64,0.15789473684210525,0.631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
14,4520,64,0.15789473684210525,0.631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
15,4820,65,0.21052631578947367,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
16,5123,65,0.2,0.6,0.05,0.05,0.05,0.05
17,5425,65,0.2,0.6,0.05,0.05,0.05,0.05
18,5726,66,0.2,0.6,0.05,0.05,0.05,0.05
19,6027,67,0.19047619047619047,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
20,6328,67,0.19047619047619047,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
21,6630,67,0.23809523809523808,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
22,6931,69,0.2857142857142857,0.47619047619047616,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
23,7233,69,0.2727272727272727,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
24,7535,69,0.3181818181818182,0.5,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
25,7837,70,0.3181818181818182,0.5,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
26,8140,70,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
27,8442,70,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
28,8744,70,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
29,9045,70,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
30,9348,70,0.3333333333333333,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
31,9649,70,0.2857142857142857,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
32,9951,70,0.3333333333333333,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
33,10100,70,0.3333333333333333,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
