,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,5026,150,0.46,0.4,0.06,0.02,0.02,0.04
1,10053,242,0.5283018867924528,0.37735849056603776,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886
2,15062,279,0.3888888888888889,0.5370370370370371,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
3,20114,293,0.45454545454545453,0.4727272727272727,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
4,25166,301,0.36363636363636365,0.5636363636363636,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
5,30221,303,0.37735849056603776,0.5471698113207547,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
6,35276,304,0.4339622641509434,0.49056603773584906,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
7,40330,304,0.4528301886792453,0.4716981132075472,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
8,45383,307,0.5098039215686274,0.4117647058823529,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
9,50440,310,0.5384615384615384,0.38461538461538464,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
10,55492,312,0.5,0.42,0.02,0.02,0.02,0.02
11,60549,313,0.52,0.38,0.04,0.02,0.02,0.02
12,65599,314,0.5490196078431373,0.35294117647058826,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0196078431372549
13,70654,315,0.5384615384615384,0.36538461538461536,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.019230769230769232
14,75708,316,0.5294117647058824,0.37254901960784315,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0196078431372549
15,80766,318,0.5714285714285714,0.3469387755102041,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
16,85823,318,0.5510204081632653,0.3673469387755102,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
17,90878,319,0.58,0.34,0.02,0.02,0.02,0.02
18,95937,320,0.5686274509803921,0.35294117647058826,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
19,100989,322,0.5686274509803921,0.35294117647058826,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
20,106042,322,0.5686274509803921,0.35294117647058826,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
21,111097,323,0.5769230769230769,0.34615384615384615,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
22,116152,324,0.5849056603773585,0.33962264150943394,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
23,121205,324,0.5849056603773585,0.33962264150943394,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
24,126261,325,0.5849056603773585,0.33962264150943394,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
25,131315,327,0.5636363636363636,0.36363636363636365,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
26,136372,328,0.5357142857142857,0.39285714285714285,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
27,141427,328,0.5357142857142857,0.39285714285714285,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
28,146477,328,0.5535714285714286,0.375,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
29,150086,328,0.5535714285714286,0.375,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
