,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,5022,182,0.24,0.62,0.02,0.04,0.06,0.02
1,10039,214,0.2857142857142857,0.6071428571428571,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.017857142857142856
2,15099,232,0.48148148148148145,0.42592592592592593,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.018518518518518517
3,20212,237,0.41818181818181815,0.4909090909090909,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.01818181818181818
4,25326,242,0.42105263157894735,0.49122807017543857,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806
5,30444,244,0.38596491228070173,0.5263157894736842,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806
6,35556,247,0.38596491228070173,0.5263157894736842,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806
7,40668,248,0.42105263157894735,0.49122807017543857,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.017543859649122806
8,45781,250,0.4482758620689655,0.4827586206896552,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827
9,50892,250,0.43103448275862066,0.5,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827
10,56005,251,0.42105263157894735,0.5087719298245614,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806
11,61120,254,0.44642857142857145,0.48214285714285715,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
12,66232,255,0.4909090909090909,0.43636363636363634,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
13,71345,257,0.48214285714285715,0.44642857142857145,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
14,76457,259,0.4909090909090909,0.43636363636363634,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
15,81569,259,0.5272727272727272,0.4,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
16,86676,259,0.5454545454545454,0.38181818181818183,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
17,91790,259,0.5818181818181818,0.34545454545454546,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
18,96906,260,0.5740740740740741,0.35185185185185186,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
19,102017,260,0.5925925925925926,0.3333333333333333,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
20,107129,261,0.5818181818181818,0.34545454545454546,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
21,112242,261,0.5636363636363636,0.36363636363636365,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
22,117353,261,0.5636363636363636,0.36363636363636365,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
23,122461,262,0.5370370370370371,0.3888888888888889,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
24,127567,262,0.5370370370370371,0.3888888888888889,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
25,132680,263,0.5471698113207547,0.37735849056603776,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
26,137791,265,0.5283018867924528,0.39622641509433965,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
27,142905,265,0.5283018867924528,0.39622641509433965,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
28,148020,265,0.5471698113207547,0.37735849056603776,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
29,150067,265,0.5471698113207547,0.37735849056603776,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
