,c1,c2,r1,r2,w1,max_p,utility,inertia,reliability
0,-0.13724987161466373,-1.1165728646463786,0.1300368508279694,1.9063678080486084,0.023437974188286324,2.443833587234421,1.7781299104157535,0.9900000000000014,0.05940000000000015
1,0.19105258746719334,0.16955381937301972,1.4329095478743605,0.11060197132009128,0.0,1.2023434911535746,0.9003430883935523,0.9149000000000002,0.6302000000000003
2,0.26125547801126836,0.8918537841455476,0.10478119306297011,1.8788405328771403,0.7743067892186136,1.171463746632671,0.824549845483173,0.9141000000000002,0.7091000000000004
3,0.24744610668979677,0.8523466357057579,0.325793896565383,1.9277654502458204,0.7457810575690357,0.17812409470775573,0.4419915422325371,0.9900000000000014,1.0000000000000007
4,0.16530731549744648,0.7188631140211149,0.08406420492498859,1.9830021912971434,0.8104735229615221,2.2799234977239813,1.5517571470815177,0.9666000000000008,0.18650000000000003
5,0.24689769424895008,0.9512883379156943,0.07239040378464101,1.9450535565071254,0.747617127966742,2.418602451350406,1.653314581715919,0.9744000000000007,0.12130000000000012
6,0.16721889243940466,0.8415044929875161,0.10056570387121491,1.7226818108567301,0.839204584203766,2.0282069798588678,1.3375859947118942,0.9701000000000005,0.3233
7,0.2601997161095569,0.7842690659886954,0.08564941721939161,1.9926878965993036,0.6625308614136691,1.874648624238396,1.2096897006691116,0.9195000000000001,0.4225999999999999
8,0.2535005113176637,0.7953549041593841,0.13525281288584698,1.8823457150846787,0.7972728694901592,0.29696658925906305,0.5097768470609576,0.9057,0.9791000000000006
9,0.25104849393569517,0.8928355082076385,0.1104383434709809,1.8551513865295244,0.7862674201735733,0.879862028147023,0.7037034170291365,0.9172000000000002,0.8087000000000006
10,0.17585973029663032,0.8621103001235123,0.08835147564925931,1.8215217507111552,0.7387505933704752,2.349287486712891,1.5048749028171884,0.9777000000000011,0.20159999999999997
11,0.262171399172935,0.7613256821353888,0.09017794612353865,1.8618580042977864,0.7130179769958267,1.6780911786165504,1.1027028353549782,0.9056000000000003,0.5011000000000002
12,0.1643048115180072,0.7915250292118354,0.0908677279633301,1.8837477568183312,0.8211081550346899,2.142399890999039,1.4604989725775603,0.9643000000000007,0.2483000000000001
13,0.24571608321283908,0.8821929516473657,0.11479729490983447,1.762956143369545,0.7989734571161204,0.6537066354615007,0.6161250136728279,0.9285999999999994,0.8801000000000004
14,0.17503717178576592,0.7937818107657963,0.1079367101474461,1.8163180644873516,0.8635369846264227,1.4124654350313133,1.001365910880859,0.9344000000000003,0.56
