,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,300,10,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
1,601,15,0.3,0.1,0.1,0.2,0.2,0.1
2,902,21,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142
3,1204,26,0.4,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
4,1507,32,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
5,1808,37,0.47058823529411764,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
6,2108,39,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
7,2410,46,0.4444444444444444,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555
8,2712,55,0.25,0.5,0.1,0.05,0.05,0.05
9,3013,61,0.2631578947368421,0.42105263157894735,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842
10,3314,63,0.3333333333333333,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616
11,3615,66,0.36363636363636365,0.3181818181818182,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456
12,3918,71,0.45454545454545453,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456
13,4218,73,0.42857142857142855,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616
14,4518,76,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842
15,4819,77,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842
16,5120,77,0.2631578947368421,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842
17,5422,79,0.3157894736842105,0.3684210526315789,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842
18,5725,80,0.45,0.3,0.1,0.05,0.05,0.05
19,6027,80,0.45,0.3,0.1,0.05,0.05,0.05
20,6328,81,0.45,0.3,0.1,0.05,0.05,0.05
21,6630,81,0.35,0.4,0.1,0.05,0.05,0.05
22,6931,81,0.35,0.4,0.1,0.05,0.05,0.05
23,7232,81,0.4,0.35,0.1,0.05,0.05,0.05
24,7534,81,0.4,0.35,0.1,0.05,0.05,0.05
25,7836,81,0.4,0.35,0.1,0.05,0.05,0.05
26,8138,81,0.45,0.3,0.1,0.05,0.05,0.05
27,8440,82,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
28,8742,82,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
29,9044,82,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
30,9345,82,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
31,9646,82,0.42857142857142855,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
32,9947,82,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
33,10095,83,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616
